microlocality,developer,building,bed_band,n,med_price,bed_rent,net_yield
Motor City,Emaar,Beverly Grande,studio,37,790500.0,50000.0,0.05060088551549652
Motor City,Sobha,Sobha Solis Tower B,1BR,29,1089740.0,70000.0,0.051388404573568004
Motor City,Sobha,Sobha Solis Tower A,1BR,14,1093539.5,70000.0,0.05120985570251463
Motor City,Binghatti,Binghatti Skyterraces,studio,133,815999.0,50000.0,0.0490196679162597
Motor City,Iman,Sierra by Iman,1BR,164,1312322.0,70000.0,0.042672453864219306
Dubai South,Azizi,Azizi Venice 9 Building A,studio,61,683000.0,40000.0,0.04685212298682284
Dubai South,Azizi,Azizi Venice 6,studio,80,730000.0,40000.0,0.043835616438356165
Dubai South,Emaar,Golf Vale,2BR,17,1600230.0,80000.0,0.0399942508264437
Dubai South,Emaar,The Pulse Beachfront,4BR+,2,4340000.0,151000.0,0.027834101382488482
Dubai Silicon Oasis,Binghatti,Binghatti Stars,studio,12,540000.0,40000.0,0.05925925925925926
Dubai Silicon Oasis,Binghatti,Binghatti Crystals,studio,15,545000.0,40000.0,0.05871559633027523
Dubai Silicon Oasis,Danube,Oasiz 2 by Danube,studio,14,761000.0,40000.0,0.04204993429697766
Dubai Silicon Oasis,Danube,Timez By Danube,studio,130,838305.0,40000.0,0.03817226427135709
Dubai Silicon Oasis,Vision,Pearls by Vision,1BR,17,1100000.0,55000.0,0.04000000000000001
Dubai Silicon Oasis,Ellington,The Hillgate Tower B,1BR,59,1268828.0,55000.0,0.03467767104761244
Dubai Silicon Oasis,Ellington,The Hillgate Tower A,2BR,58,2016828.0,77000.0,0.030543011104566184
International City,Azizi,Riviera Lake View Apartments,1BR,6,400000.0,42000.0,0.084
International City,Azizi,Riviera Dream,1BR,6,571000.0,42000.0,0.05884413309982487
International City,Nakheel,Longford Residences by Devan Real Estate Development,studio,65,569336.0,30500.0,0.042856942122050955
International City,Nakheel,Yigo 26,1BR,60,882555.0,42000.0,0.03807128167649609
International City,Danube,Lawnz by Danube Block 4,1BR,6,765000.0,42000.0,0.04392156862745098
International City,Danube,Petalz by Danube Tower B,1BR,4,822500.0,42000.0,0.04085106382978723
International City,Samana,Greenfield by Samana,1BR,154,899018.185,42000.0,0.03737410495205945
Dubai Sports City,Azizi,Azizi Grand,1BR,26,1002400.0,55000.0,0.04389465283320032
Dubai Sports City,Vision,Verde by Vision,2BR,76,1627650.0,80000.0,0.039320492734924585
Dubai Sports City,Samana,Samana Golf Views,2BR,3,1605415.68,80000.0,0.03986506472890561
Dubai Sports City,Karma,Antalya by Karma,studio,34,760797.5,40000.0,0.042061126646709544
Discovery Gardens,Nakheel,Building 206,studio,51,500000.0,41000.0,0.0656
Discovery Gardens,Nakheel,Building 256,studio,57,525000.0,41000.0,0.06247619047619048
Discovery Gardens,Samana,Samana California,studio,1,871074.0,41000.0,0.03765466539008167
Discovery Gardens,Samana,Samana California 2,1BR,2,1286703.9,58000.0,0.036061132635099656
Town Square,Nshama,Rosewell,2BR,97,1621888.0,85000.0,0.04192644621576829
Town Square,Nshama,Evelyn on the Park,2BR,75,1641888.0,85000.0,0.04141573603071586
The Greens,Emaar,Al Alka 1,1BR,11,1365000.0,82000.0,0.048058608058608066
The Greens,Emaar,Al Dhafrah 3,1BR,10,1540000.0,82000.0,0.0425974025974026
The Greens,Nakheel,Al Nakheel 2,3BR,3,2650000.0,175000.0,0.052830188679245285
The Greens,Nakheel,Al Nakheel 4,2BR,3,2450000.0,130000.0,0.04244897959183674
Jumeirah Village Circle,Iman,Oxford Cove by Iman,1BR,2,1178284.8,67000.0,0.045489851010553646
Jumeirah Village Circle,Binghatti,Binghatti Heights,1BR,1,850000.0,67000.0,0.06305882352941176
Jumeirah Village Circle,Binghatti,Binghatti Apex,studio,3,879999.0,45000.0,0.04090913739674704
Al Furjan,Azizi,Azizi Jewel,studio,79,541000.0,46000.0,0.06802218114602587
Al Furjan,Azizi,Azizi Neila,studio,40,562500.0,46000.0,0.06542222222222223
Al Furjan,Danube,Gemz by Danube,2BR,8,1735000.0,95000.0,0.04380403458213257
Al Furjan,Danube,SPARKLZ by Danube,2BR,51,1829000.0,95000.0,0.04155276107162384
